project,bug_id,tool,detected,rank,duration_seconds,execution_timestamp,comparison_timestamp,cpu_avg_percent,cpu_max_percent,memory_avg_bytes,memory_max_bytes,memory_limit_bytes,network_rx_total_bytes,network_tx_total_bytes,disk_read_total_bytes,disk_write_total_bytes,top@1,top@5,top@10
Jsoup,21,boostnsift,No,N/A,9.442066192626953,2025-11-18T17:38:14.022175,2025-12-07T16:19:43.253541,1.405,2.81,11460935.5,22921871,134861973094,486,0,0,0,0,0,0
Jsoup,21,buglocator,Yes,13,5.279268503189087,2025-11-18T17:38:12.020973,2025-12-02T15:34:25.387814,488.29,488.29,276090060.0,276090060,134861973094,266,0,0,0,0,0,0
Jsoup,21,locus,Yes,18,9.119765758514404,2025-11-22T11:42:59.929611,2025-12-07T16:19:43.253541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Jsoup,22,boostnsift,Yes,3,9.714731931686401,2025-11-18T17:38:22.101900,2025-12-07T16:19:43.253541,1.445,2.89,11382292.0,22764584,134861973094,486,0,0,0,0,1,1
Jsoup,22,buglocator,Yes,2,6.081179857254028,2025-11-18T17:38:20.129017,2025-12-02T15:34:25.387814,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1
Jsoup,22,locus,Yes,3,9.000513076782227,2025-11-22T11:43:06.819350,2025-12-07T16:19:43.253541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1
Jsoup,23,boostnsift,No,N/A,9.526631593704224,2025-11-18T17:38:30.019525,2025-12-07T16:19:43.253541,1.32,2.64,11544821.5,23089643,134861973094,486,0,0,0,0,0,0
Jsoup,23,buglocator,Yes,1,5.921978950500488,2025-11-18T17:38:28.027320,2025-12-02T15:34:25.387814,542.54,542.54,294230425.0,294230425,134861973094,266,0,0,0,1,1,1
Jsoup,23,locus,Yes,1,8.762256860733032,2025-11-22T11:43:08.702067,2025-12-07T16:19:43.253541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Jsoup,24,boostnsift,No,N/A,9.435873985290527,2025-11-18T17:38:37.815995,2025-12-07T16:19:43.253541,1.47,2.94,11371806.5,22743613,134861973094,486,0,0,0,0,0,0
Jsoup,24,buglocator,Yes,72,5.255051374435425,2025-11-18T17:38:35.277877,2025-12-02T15:34:25.387814,555.26,555.26,323171123.0,323171123,134861973094,426,0,0,0,0,0,0
Jsoup,24,locus,Yes,20,8.759659767150879,2025-11-22T11:43:15.583256,2025-12-07T16:19:43.253541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Jsoup,25,boostnsift,Yes,18,9.484366416931152,2025-11-18T17:38:45.130499,2025-12-07T16:19:43.253541,1.085,2.17,11439964.0,22879928,134861973094,486,0,0,0,0,0,0
Jsoup,25,buglocator,Yes,1,5.315966844558716,2025-11-18T17:38:43.156387,2025-12-02T15:34:25.387814,495.63,495.63,329043148.0,329043148,134861973094,266,0,0,0,1,1,1
Jsoup,25,locus,Yes,1,8.898712635040283,2025-11-22T11:43:17.605578,2025-12-07T16:19:43.253541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Jsoup,26,boostnsift,No,N/A,9.316136121749878,2025-11-18T17:38:52.842476,2025-12-07T16:19:43.253541,1.49,2.98,11371806.5,22743613,134861973094,486,0,0,0,0,0,0
Jsoup,26,buglocator,Yes,2,5.171396970748901,2025-11-18T17:38:50.304813,2025-12-02T15:34:25.387814,545.65,545.65,317508812.0,317508812,134861973094,266,0,0,0,0,1,1
Jsoup,26,locus,Yes,1,8.790401220321655,2025-11-22T11:43:24.378719,2025-12-07T16:19:43.253541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
Jsoup,27,boostnsift,No,N/A,10.286762237548828,2025-11-18T17:39:00.987804,2025-12-07T16:19:43.253541,1.425,2.85,11377049.5,22754099,134861973094,486,0,0,0,0,0,0
Jsoup,27,buglocator,Yes,1,6.0406413078308105,2025-11-18T17:38:58.886558,2025-12-02T15:34:25.387814,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1
Jsoup,27,locus,Yes,1,8.803192138671875,2025-11-22T11:43:26.413771,2025-12-07T16:19:43.253541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
