project,bug_id,tool,succeeded,duration_seconds,energy_consumed_kwh,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,emissions_kg_co2,gpu_energy_nvml_kwh
JacksonDatabind,JacksonDatabind-60,buglocator,True,100.17980813980103,0.0017945831481940076,0.0007719935185621043,0.0,0.0010225896296319034,0.0008337382064868612,0.0
JacksonDatabind,JacksonDatabind-60,locus,True,109.12620449066162,0.001988276281659384,0.0008713069718376593,0.0,0.0011169693098217247,0.0009237253245910065,0.0
JacksonDatabind,JacksonDatabind-61,blia,True,113.83553886413574,0.002049587623458299,0.00088313594582278,0.0,0.001166451677635519,0.0009522097156319973,0.0
JacksonDatabind,JacksonDatabind-61,bluir,True,17.65573215484619,0.0002661441198754365,0.0001136291369027285,0.0,0.000152514982972708,0.00012364683207644956,0.0
JacksonDatabind,JacksonDatabind-61,boostnsift,True,20.388238191604614,0.0003160980275753542,0.00013450690460226482,0.0,0.00018159112297308944,0.00014685471823912353,0.0
JacksonDatabind,JacksonDatabind-61,buglocator,True,81.97886180877686,0.0014676657816080458,0.0006372005489164216,0.0,0.0008304652326916242,0.0006818569748141555,0.0
JacksonDatabind,JacksonDatabind-61,locus,True,92.22334623336792,0.0016757854664039785,0.0007374425584806012,0.0,0.0009383429079233773,0.0007785464666947588,0.0
JacksonDatabind,JacksonDatabind-62,blia,True,90.80768537521362,0.0016175509548016836,0.0006940074191072038,0.0,0.0009235435356944799,0.000751491527887495,0.0
JacksonDatabind,JacksonDatabind-62,bluir,True,18.072065114974976,0.0004344150722849097,0.00011790561747991967,0.0,0.00031650945480499,0.00020182316077255703,0.0
JacksonDatabind,JacksonDatabind-62,boostnsift,True,19.592857837677002,0.0003025318329423455,0.00012973021476366006,0.0,0.00017280161817868547,0.00014055205413935254,0.0
JacksonDatabind,JacksonDatabind-62,buglocator,True,67.2644395828247,0.001202705826684949,0.0005274595363687648,0.0,0.0006752462903161843,0.0005587602891962537,0.0
JacksonDatabind,JacksonDatabind-62,locus,True,89.79358983039856,0.001633950767580473,0.0007114594759711906,0.0,0.0009224912916092824,0.0007591106513071417,0.0
JacksonDatabind,JacksonDatabind-63,blia,True,111.79541683197021,0.0020664134616491256,0.0009155744964457193,0.0,0.001150838965203406,0.0009600267644937207,0.0
JacksonDatabind,JacksonDatabind-63,bluir,True,17.73718547821045,0.00026742937735784714,0.00011371280732446577,0.0,0.0001537165700333814,0.00012424394470917277,0.0
JacksonDatabind,JacksonDatabind-63,boostnsift,True,17.755741834640503,0.0002806222508126331,0.00011930503788847882,0.0,0.0001613172129241543,0.00013037316901603796,0.0
JacksonDatabind,JacksonDatabind-63,buglocator,True,73.65593814849854,0.0013116088747063262,0.000569075690080083,0.0,0.0007425331846262432,0.0006093551206643133,0.0
JacksonDatabind,JacksonDatabind-63,locus,True,83.67689609527588,0.0015034607503359382,0.0006552491592639717,0.0,0.0008482115910719666,0.0006984868161555722,0.0
JacksonDatabind,JacksonDatabind-64,blia,True,111.4206817150116,0.0020450982731639146,0.0008958895028161554,0.0,0.0011492087703477592,0.0009501240263361304,0.0
JacksonDatabind,JacksonDatabind-64,bluir,True,21.3890597820282,0.00033915094790941413,0.0001441167838081148,0.0,0.00019503416410129932,0.0001575647822854431,0.0
JacksonDatabind,JacksonDatabind-64,boostnsift,True,32.116780281066895,0.0005310878743265545,0.00022560201302616718,0.0,0.00030548586130038733,0.00024673599118187663,0.0
JacksonDatabind,JacksonDatabind-64,buglocator,True,90.60591983795166,0.0016283927037460551,0.0007069383687316157,0.0,0.0009214543350144393,0.0007565284526625648,0.0
JacksonDatabind,JacksonDatabind-64,locus,True,109.38373160362244,0.001975401236694282,0.000856645576849349,0.0,0.0011187556598449332,0.0009177437589508498,0.0
JacksonDatabind,JacksonDatabind-66,blia,True,110.68993759155273,0.0020043106063037676,0.0008707769221839788,0.0,0.001133533684119789,0.0009311746473402422,0.0
JacksonDatabind,JacksonDatabind-66,bluir,True,21.374940872192383,0.0003337889870110857,0.00014184689659413772,0.0,0.00019194209041694803,0.00015507369031953226,0.0
JacksonDatabind,JacksonDatabind-66,boostnsift,True,22.39128303527832,0.0003701108214467286,0.00015723976712685682,0.0,0.0002128710543198718,0.00017194830609264984,0.0
JacksonDatabind,JacksonDatabind-66,buglocator,True,72.47633051872253,0.0012992276431924776,0.0005690448268404034,0.0,0.0007301828163520743,0.0006036029738402204,0.0
JacksonDatabind,JacksonDatabind-66,locus,True,109.14424681663513,0.0019790371381635235,0.0008619335797045149,0.0,0.0011171035584590088,0.0009194329478708388,0.0
JacksonDatabind,JacksonDatabind-67,blia,True,110.92837595939636,0.0020123887422670837,0.0008768236975154857,0.0,0.0011355650447515979,0.0009349276362148953,0.0
JacksonDatabind,JacksonDatabind-67,bluir,True,19.098670482635498,0.00029213926075233874,0.00012420708083237732,0.0,0.0001679321799199614,0.00013572381059588604,0.0
JacksonDatabind,JacksonDatabind-67,boostnsift,True,20.792211055755615,0.0003230606740871933,0.0001373993412326061,0.0,0.00018566133285458718,0.0001500894663314728,0.0
JacksonDatabind,JacksonDatabind-67,buglocator,True,65.72027063369751,0.0011623947546741198,0.0005035458486823568,0.0,0.0006588489059917629,0.0005400323294950307,0.0
JacksonDatabind,JacksonDatabind-67,locus,True,105.71155500411987,0.0018978452258145585,0.0008169547964034751,0.0,0.0010808904294110834,0.0008817123220802825,0.0
JacksonDatabind,JacksonDatabind-68,blia,True,100.77980041503906,0.0018499912942988275,0.0008212791776854642,0.0,0.0010287121166133633,0.0008594800554531151,0.0
JacksonDatabind,JacksonDatabind-68,bluir,True,27.54512667655945,0.0004491076237738197,0.0001920756225855879,0.0,0.0002570320011882318,0.00020864911449858378,0.0
JacksonDatabind,JacksonDatabind-68,boostnsift,True,24.51291298866272,0.0004073730111236768,0.00017443815474406518,0.0,0.0002329348563796116,0.0001892597977459045,0.0
JacksonDatabind,JacksonDatabind-68,buglocator,True,81.80662178993225,0.0014531612182005448,0.0006247418137567775,0.0,0.0008284194044437673,0.0006751183577189183,0.0
